,calender,GDP1,GDP2,GDP3,GDP4
231,2011-01-17,0.03365234,0.032314659,0.028905665,0.027177278
232,2011-01-18,0.031840551,0.030178991,0.027278242,0.025929797
233,2011-01-19,0.033289587,0.030373179,0.027342471,0.025964718
234,2011-01-20,0.034687134,0.032000484,0.028590489,0.026920688
235,2011-01-21,0.034687134,0.032000484,0.028590489,0.026920688
236,2011-01-22,0.034687134,0.032000484,0.028590489,0.026920688
237,2011-01-23,0.034687134,0.032000484,0.028590489,0.026920688
238,2011-01-24,0.034687134,0.032000484,0.028590489,0.026920688
239,2011-01-25,0.034687134,0.032000484,0.028590489,0.026920688
240,2011-01-26,0.034687134,0.032000484,0.028590489,0.026920688
241,2011-01-27,0.035932071,0.031823933,0.028345743,0.026723962
242,2011-01-28,0.03694576,0.028864981,0.029500303,0.025293222
243,2011-01-29,0.03694576,0.028864981,0.029500303,0.025293222
244,2011-01-30,0.03694576,0.028864981,0.029500303,0.025293222
245,2011-01-31,0.036088705,0.028197498,0.028907885,0.024897918
246,2011-02-01,0.034391549,0.027557405,0.02842563,0.024590141
247,2011-02-02,0.034391548,0.027557406,0.02842563,0.024590142
248,2011-02-03,0.034389578,0.027556358,0.028424486,0.024589648
249,2011-02-04,0.035498998,0.028508819,0.029219551,0.025118906
250,2011-02-05,0.035498998,0.028508819,0.029219551,0.025118906
251,2011-02-06,0.035498998,0.028508819,0.029219551,0.025118906
252,2011-02-07,0.035498998,0.028508819,0.029219551,0.025118906
253,2011-02-08,0.035111977,0.028231625,0.028973817,0.024946343
254,2011-02-09,0.035111977,0.028231625,0.028973817,0.024946343
255,2011-02-10,0.035111977,0.028231625,0.028973817,0.024946343
256,2011-02-11,0.035378216,0.028409507,0.029117468,0.025033172
257,2011-02-12,0.035378216,0.028409507,0.029117468,0.025033172
258,2011-02-13,0.035378216,0.028409507,0.029117468,0.025033172
259,2011-02-14,0.035378216,0.028409507,0.029117468,0.025033172
260,2011-02-15,0.036238996,0.03002122,0.030574907,0.026080772
261,2011-02-16,0.038288823,0.029447567,0.029728211,0.025381692
262,2011-02-17,0.040407584,0.03425063,0.033393073,0.028183422
263,2011-02-18,0.040407584,0.03425063,0.033393073,0.028183422
264,2011-02-19,0.040407584,0.03425063,0.033393073,0.028183422
265,2011-02-20,0.040407584,0.03425063,0.033393073,0.028183422
266,2011-02-21,0.040407584,0.03425063,0.033393073,0.028183422
267,2011-02-22,0.040407584,0.03425063,0.033393073,0.028183422
268,2011-02-23,0.040407584,0.03425063,0.033393073,0.028183422
269,2011-02-24,0.040412218,0.034448879,0.033599883,0.028335838
270,2011-02-25,0.040412218,0.034448879,0.033599883,0.028335838
271,2011-02-26,0.040412218,0.034448879,0.033599883,0.028335838
272,2011-02-27,0.040412218,0.034448879,0.033599883,0.028335838
273,2011-02-28,0.040104798,0.034621362,0.033814174,0.028499407
274,2011-03-01,0.038232999,0.033494783,0.03323692,0.02802194
275,2011-03-02,0.033494784,0.03323692,0.02802194,0.027504818
276,2011-03-03,0.033494784,0.03323692,0.02802194,0.027504818
277,2011-03-04,0.035048318,0.034458547,0.028965573,0.028240356
278,2011-03-05,0.035048318,0.034458547,0.028965573,0.028240356
279,2011-03-06,0.035048318,0.034458547,0.028965573,0.028240356
280,2011-03-07,0.035048318,0.034458547,0.028965573,0.028240356
281,2011-03-08,0.035048318,0.034458547,0.028965573,0.028240356
282,2011-03-09,0.035048318,0.034458547,0.028965573,0.028240356
283,2011-03-10,0.035284977,0.034644519,0.029093192,0.028339734
284,2011-03-11,0.034351464,0.033767416,0.028423499,0.027797385
285,2011-03-12,0.034351464,0.033767416,0.028423499,0.027797385
286,2011-03-13,0.034351464,0.033767416,0.028423499,0.027797385
287,2011-03-14,0.034351464,0.033767416,0.028423499,0.027797385
288,2011-03-15,0.033577669,0.032995838,0.027841023,0.027344318
289,2011-03-16,0.030678421,0.032491575,0.027557528,0.027140095
290,2011-03-17,0.033138805,0.034670652,0.029234913,0.028416395
291,2011-03-18,0.033138805,0.034670652,0.029234913,0.028416395
292,2011-03-19,0.033138805,0.034670652,0.029234913,0.028416395
293,2011-03-20,0.033138805,0.034670652,0.029234913,0.028416395
294,2011-03-21,0.033138805,0.034670652,0.029234913,0.028416395
295,2011-03-22,0.033138805,0.034670652,0.029234913,0.028416395
296,2011-03-23,0.032301869,0.034763034,0.029371576,0.028507997
297,2011-03-24,0.031753603,0.034400514,0.029093039,0.028301443
298,2011-03-25,0.031753603,0.034400514,0.029093039,0.028301443
299,2011-03-26,0.031753603,0.034400514,0.029093039,0.028301443
300,2011-03-27,0.031753603,0.034400514,0.029093039,0.028301443
301,2011-03-28,0.031633299,0.034342628,0.029044672,0.028261429
302,2011-03-29,0.031633299,0.034342628,0.029044672,0.028261429
303,2011-03-30,0.031633299,0.034342628,0.029044672,0.028261429
304,2011-03-31,0.031633299,0.034342628,0.029044672,0.028261429
305,2011-04-01,0.031603943,0.033948732,0.028746123,0.028028372
306,2011-04-02,0.031603943,0.033948732,0.028746123,0.028028371
307,2011-04-03,0.031603943,0.033948732,0.028746123,0.028028371
308,2011-04-04,0.031603943,0.033948732,0.028746123,0.028028371
309,2011-04-05,0.031603943,0.033948732,0.028746123,0.028028371
310,2011-04-06,0.031603943,0.033948732,0.028746123,0.028028371
311,2011-04-07,0.031603943,0.033948732,0.028746123,0.028028371
312,2011-04-08,0.031603943,0.033948732,0.028746123,0.028028371
313,2011-04-09,0.031603943,0.033948732,0.028746123,0.028028371
314,2011-04-10,0.031603943,0.033948732,0.028746123,0.028028371
315,2011-04-11,0.031603943,0.033948732,0.028746123,0.028028371
316,2011-04-12,0.031544269,0.03422432,0.029036485,0.028234297
317,2011-04-13,0.032231381,0.034408144,0.029186206,0.028342825
318,2011-04-14,0.032273737,0.034446427,0.02921563,0.028365283
319,2011-04-15,0.033659114,0.035692082,0.030172448,0.029109313
320,2011-04-16,0.033659114,0.035692082,0.030172448,0.029109313
321,2011-04-17,0.033659114,0.035692082,0.030172448,0.029109313
322,2011-04-18,0.033659114,0.035692082,0.030172448,0.029109313
323,2011-04-19,0.036714171,0.036238224,0.030412252,0.029245915
324,2011-04-20,0.036714171,0.036238224,0.030412252,0.029245915
325,2011-04-21,0.033949947,0.033005079,0.027875234,0.027292323
326,2011-04-22,0.033949947,0.033005079,0.027875234,0.027292323
327,2011-04-23,0.033949947,0.033005079,0.027875234,0.027292323
328,2011-04-24,0.033949947,0.033005079,0.027875234,0.027292323
329,2011-04-25,0.034751206,0.033010022,0.027821801,0.027240238
330,2011-04-26,0.034751206,0.033010022,0.027821801,0.027240238
331,2011-04-27,0.035328742,0.033394824,0.028113315,0.027453591
332,2011-04-28,0.039813508,0.022442411,0.032337769,0.021818105
333,2011-04-29,0.03952125,0.022590499,0.032436155,0.021918813
334,2011-04-30,0.03952125,0.022590499,0.032436155,0.021918813
335,2011-05-01,0.03952125,0.022590499,0.032436155,0.021918813
336,2011-05-02,0.040069889,0.022802786,0.0325571,0.022019602
337,2011-05-03,0.040069889,0.022802786,0.0325571,0.022019602
338,2011-05-04,0.040069889,0.022802786,0.0325571,0.022019602
339,2011-05-05,0.04020714,0.022885716,0.032657578,0.022073521
340,2011-05-06,0.040449827,0.023348882,0.032972799,0.022342313
341,2011-05-07,0.040449827,0.023348882,0.032972799,0.022342313
342,2011-05-08,0.040449827,0.023348882,0.032972799,0.022342313
343,2011-05-09,0.040449827,0.023348882,0.032972799,0.022342313
344,2011-05-10,0.041138843,0.024113396,0.033579607,0.022796902
345,2011-05-11,0.042037198,0.024741324,0.034046332,0.023090395
346,2011-05-12,0.041043897,0.025211035,0.034607615,0.023516224
347,2011-05-13,0.041123187,0.025302963,0.034676177,0.023565633
348,2011-05-14,0.041123187,0.025302963,0.034676177,0.023565633
349,2011-05-15,0.041123187,0.025302963,0.034676177,0.023565633
350,2011-05-16,0.039808942,0.022168452,0.032310366,0.021745033
351,2011-05-17,0.037700551,0.019920819,0.030535578,0.02045551
352,2011-05-18,0.037700551,0.019920819,0.030535578,0.02045551
353,2011-05-19,0.037128051,0.018657299,0.029594485,0.019758415
354,2011-05-20,0.037128051,0.018657299,0.029594485,0.019758415
355,2011-05-21,0.037128051,0.018657299,0.029594485,0.019758415
356,2011-05-22,0.037128051,0.018657299,0.029594485,0.019758415
357,2011-05-23,0.037128051,0.018657299,0.029594485,0.019758415
358,2011-05-24,0.038349617,0.018873033,0.029571299,0.019716526
359,2011-05-25,0.037864012,0.018527434,0.029321074,0.019543881
360,2011-05-26,0.037864012,0.018527434,0.029321074,0.019543881
361,2011-05-27,0.037109317,0.018677892,0.029656644,0.019790105
362,2011-05-28,0.037109317,0.018677892,0.029656644,0.019790105
363,2011-05-29,0.037109317,0.018677892,0.029656644,0.019790105
364,2011-05-30,0.037109317,0.018677892,0.029656644,0.019790105
365,2011-05-31,0.037109317,0.018677892,0.029656644,0.019790105
366,2011-06-01,0.036772958,0.018482248,0.02956299,0.019721143
367,2011-06-02,0.018482318,0.029562942,0.019721176,0.02469758
368,2011-06-03,0.01799178,0.029214622,0.019462622,0.024512416
369,2011-06-04,0.01799178,0.029214622,0.019462622,0.024512416
370,2011-06-05,0.01799178,0.029214622,0.019462622,0.024512416
371,2011-06-06,0.01799178,0.029214622,0.019462622,0.024512416
372,2011-06-07,0.017946721,0.029174464,0.019438519,0.024492192
373,2011-06-08,0.017946721,0.029174464,0.019438519,0.024492192
374,2011-06-09,0.017533004,0.028838629,0.019209677,0.024309342
375,2011-06-10,0.016458145,0.028036827,0.0186238,0.023874175
376,2011-06-11,0.016458145,0.028036827,0.0186238,0.023874175
377,2011-06-12,0.016458145,0.028036827,0.0186238,0.023874175
378,2011-06-13,0.016458145,0.028036827,0.0186238,0.023874175
379,2011-06-14,0.015240518,0.027405473,0.018196913,0.023555818
380,2011-06-15,0.010457811,0.023456909,0.015321135,0.021499067
381,2011-06-16,0.011194033,0.02367386,0.015458979,0.021590201
382,2011-06-17,0.011194033,0.02367386,0.015458979,0.021590201
383,2011-06-18,0.011194033,0.02367386,0.015458979,0.021590201
384,2011-06-19,0.011194033,0.02367386,0.015458979,0.021590201
385,2011-06-20,0.011194033,0.02367386,0.015458979,0.021590201
386,2011-06-21,0.011194033,0.02367386,0.015458979,0.021590201
387,2011-06-22,0.011194033,0.02367386,0.015458979,0.021590201
388,2011-06-23,0.01119995,0.023670587,0.015457859,0.021587984
389,2011-06-24,0.011105104,0.023608528,0.015415873,0.02155656
390,2011-06-25,0.011105104,0.023608528,0.015415873,0.02155656
391,2011-06-26,0.011105104,0.023608528,0.015415873,0.02155656
392,2011-06-27,0.010849627,0.02384861,0.015613371,0.02170549
393,2011-06-28,0.010849627,0.02384861,0.015613371,0.02170549
394,2011-06-29,0.010849627,0.02384861,0.015613371,0.02170549
395,2011-06-30,0.010849627,0.02384861,0.015613371,0.02170549
396,2011-07-01,0.011269079,0.023988479,0.015703554,0.02176849
397,2011-07-02,0.011269134,0.023988441,0.01570358,0.021768473
398,2011-07-03,0.011269134,0.023988441,0.01570358,0.021768473
399,2011-07-04,0.011269134,0.023988441,0.01570358,0.021768473
400,2011-07-05,0.011269134,0.023988441,0.01570358,0.021768473
401,2011-07-06,0.011269134,0.023988441,0.01570358,0.021768473
402,2011-07-07,0.011269134,0.023988441,0.01570358,0.021768473
403,2011-07-08,0.013766479,0.02607665,0.017203201,0.022855868
404,2011-07-09,0.013766479,0.02607665,0.017203201,0.022855868
